MAT,P_PET,d18Op,d18Odw
18.2,0.45,-4.34,-2.81
18.2,0.45,-4.34,-2.5
18.2,0.45,-4.34,-3.45
18.2,0.45,-4.34,-2.43
18.2,0.45,-4.34,-1.98
18.2,0.45,-4.34,-2.62
18.2,0.45,-4.34,-2.9
18.2,0.45,-4.34,-2.36
18.2,0.45,-4.34,-2.88
18.2,0.45,-4.34,-1.96
18.2,0.45,-4.34,-2.24
18.2,0.45,-4.34,-2.76
18.2,0.45,-4.34,-1.51
18.2,0.45,-4.34,-2.19
18.2,0.45,-4.34,-3.3
14.75,1.06,-4.02,-4
14.75,1.06,-4.02,-3.84
14.75,1.06,-4.02,-3.8
14.75,1.06,-4.02,-4.75
14.75,1.06,-4.02,-4.02
14.75,1.06,-4.02,-4.19
11.1,1.07,-6.85,-6.6
11.1,1.07,-6.85,-6.81
11.1,1.07,-6.85,-6.76
9.5,1.68,-5.4,-5.04
9.5,1.68,-5.4,-5.04
8.3,1.43,-5.27,-5.26
8.3,1.43,-5.27,-5.38
16.7,0.76,-10,-9.5
16.7,0.76,-10,-9.6
16.7,0.76,-10,-9.4
16.7,0.76,-10,-9.3
16.7,0.76,-10,-9.3
21.2,1.39,-6.9,-5.8
21.2,1.39,-6.9,-5.8
21.2,1.39,-6.9,-5.1
21.2,1.39,-6.9,-5.4
21.2,1.39,-6.9,-5.9
18.5,1.12,-7.2,-7.5
18.5,1.12,-7.2,-6.9
18.5,1.12,-7.2,-6.1
17.4,1.07,-6.3,-7.2
17.4,1.07,-6.3,-7.2
17.4,1.07,-6.3,-7.2
17.4,1.07,-6.3,-7.6
17.4,1.07,-6.3,-7.6
16.1,1.36,-7.9,-7.5
16.1,1.36,-7.9,-7.3
16.1,1.36,-7.9,-7.2
16.1,1.36,-7.9,-7.3
16.5,1.04,-7.9,-7.2
16.5,1.04,-7.9,-7.3
16.5,1.04,-7.9,-7.4
16.5,1.04,-7.9,-6.9
14.9,0.57,-8.3,-9.1
14.9,0.57,-8.3,-9.1
14.9,0.57,-8.3,-9.1
12.2,0.59,-8.7,-8.9
